id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants
22550037,set,DirectoryProperty,(Lnet/bytebuddy/build/gradle/api/Provider;)V,void,1,0
22550037,set,List<Token>,(ILnet/bytebuddy/description/method/ParameterDescription$Token;)Lnet/bytebuddy/description/method/ParameterDescription$Token;,Token,2,0
22550037,get,"Map<TypeDescription,LoadedTypeInitializer>",(Ljava/lang/Object;)Lnet/bytebuddy/implementation/LoadedTypeInitializer;,LoadedTypeInitializer,1,0
22550037,get,List<InDefinedShape>,(I)Lnet/bytebuddy/description/field/FieldDescription$InDefinedShape;,InDefinedShape,1,0
22550037,get,List<InDefinedShape>,(I)Lnet/bytebuddy/description/field/FieldDescription$InDefinedShape;,InDefinedShape,1,1
22550037,get,"Map<String,TypeDefinition>",(Ljava/lang/Object;)Lnet/bytebuddy/description/type/TypeDefinition;,TypeDefinition,1,0
22550037,get,List<TypeDescription>,(I)Lnet/bytebuddy/description/type/TypeDescription;,TypeDescription,1,0
22550037,get,List<TypeDescription>,(I)Lnet/bytebuddy/description/type/TypeDescription;,TypeDescription,1,1
22550037,get,"Map<Integer,Target>",(Ljava/lang/Object;)Lnet/bytebuddy/asm/Advice$OffsetMapping$Target;,Target,1,0
22550037,get,"Map<String,InDefinedShape>",(Ljava/lang/Object;)Lnet/bytebuddy/description/field/FieldDescription$InDefinedShape;,InDefinedShape,1,0
22550037,get,"Map<String,MethodDescription>",(Ljava/lang/Object;)Lnet/bytebuddy/description/method/MethodDescription;,MethodDescription,1,0
22550037,get,List<AnnotationDescription>,(I)Lnet/bytebuddy/description/annotation/AnnotationDescription;,AnnotationDescription,1,0
22550037,get,List<AnnotationDescription>,(I)Lnet/bytebuddy/description/annotation/AnnotationDescription;,AnnotationDescription,1,1
22550037,get,List<InDefinedShape>,(I)Lnet/bytebuddy/description/method/ParameterDescription$InDefinedShape;,InDefinedShape,1,0
22550037,get,List<InDefinedShape>,(I)Lnet/bytebuddy/description/method/ParameterDescription$InDefinedShape;,InDefinedShape,1,1
22550037,get,List<InGenericShape>,(I)Lnet/bytebuddy/description/method/ParameterDescription$InGenericShape;,InGenericShape,1,0
22550037,get,List<InGenericShape>,(I)Lnet/bytebuddy/description/method/ParameterDescription$InGenericShape;,InGenericShape,1,1
22550037,get,TokenList<Token>,(I)Lnet/bytebuddy/description/method/ParameterDescription$Token;,Token,1,0
22550037,get,TokenList<TypeVariableToken>,(I)Lnet/bytebuddy/description/type/TypeVariableToken;,TypeVariableToken,1,0
22550037,get,TokenList<TypeVariableToken>,(I)Lnet/bytebuddy/description/type/TypeVariableToken;,TypeVariableToken,1,1
22550037,get,List<InDefinedShape>,(I)Lnet/bytebuddy/description/method/MethodDescription$InDefinedShape;,InDefinedShape,1,0
22550037,get,List<InDefinedShape>,(I)Lnet/bytebuddy/description/method/MethodDescription$InDefinedShape;,InDefinedShape,1,1
