id,name,declaryngType,methodDescriptor,returnType,numArgument,hasConstants
1506758346840,convert,ISizeConverter,(Landroid/content/Context;F)Lcom/wanjian/sak/converter/Size;,Size,2,0
1506758346840,remove,LinkedList<T>,(I)Lcom/wanjian/sak/utils/T;,T,1,0
1506758346840,remove,LinkedList<T>,(I)Lcom/wanjian/sak/utils/T;,T,1,1
1506758346840,apply,ViewFilter,(Landroid/view/View;)Z,boolean,1,0
1506758346840,get,List<AbsLayer>,(I)Lcom/wanjian/sak/layer/AbsLayer;,AbsLayer,1,0
1506758346840,get,LinkedList<T>,(I)Lcom/wanjian/sak/utils/T;,T,1,0
1506758346840,onDraw,PerformanceListener,(J)V,void,1,0
1506758346840,onLayout,PerformanceListener,(J)V,void,1,0
1506758346840,onMeasure,PerformanceListener,(J)V,void,1,0
1506758346840,onTouch,PerformanceListener,(J)V,void,1,0
1506758346840,onRemoveWindow,IWindowChangeListener,(Landroid/view/View;)V,void,1,0
1506758346840,onAddWindow,IWindowChangeListener,(Landroid/view/View;)V,void,1,0
1506758346840,onRemoveWindowChangeListener,WindowRootViewCompat,(Lcom/wanjian/sak/compact/IWindowChangeListener;)V,void,1,0
1506758346840,onAddWindowChangeListener,WindowRootViewCompat,(Lcom/wanjian/sak/compact/IWindowChangeListener;)V,void,1,0
1506758346840,recovery,ISizeConverter,(Landroid/content/Context;F)I,int,2,0
1506758346840,getTxt,LayerTxtAdapter,(Landroid/view/View;)Ljava/lang/String;,String,1,0
1506758346840,onDrawLayer,LayerAdapter,(Landroid/graphics/Canvas;Landroid/view/View;)V,void,2,0
1506758346840,onDrawInfo,DrawingBoardView,(Landroid/graphics/Canvas;)V,void,1,0
1859802304,get,UserCache,(I)Lio/reactivex/Observable;,Observable<UserEntity>,1,0
1859802304,get,List<UserModel>,(I)Lcom/fernandocejas/android10/sample/presentation/model/UserModel;,UserModel,1,0
1859802304,put,UserCache,(Lcom/fernandocejas/android10/sample/data/entity/UserEntity;)V,void,1,0
1859802304,isCached,UserCache,(I)Z,boolean,1,0
1859802304,userEntityById,RestApi,(I)Lio/reactivex/Observable;,Observable<UserEntity>,1,0
1859802304,user,UserRepository,(I)Lio/reactivex/Observable;,Observable<User>,1,0
1859802304,userEntityDetails,UserDataStore,(I)Lio/reactivex/Observable;,Observable<UserEntity>,1,0
